f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
2,1,38.5,66,28,3,3,0,2,5,4,4,0,0,0,3,5,45,8.4,0,0,0
1,1,39.2,88,20,0,0,4,1,3,4,2,0,0,0,4,2,50,85,2,2,0
2,1,38.3,40,24,1,1,3,1,3,3,1,0,0,0,1,1,33,6.7,0,0,1
1,9,39.1,164,84,4,1,6,2,2,4,4,1,2,5,3,0,48,7.2,3,5.3,0
2,1,37.3,104,35,0,0,6,2,0,0,0,0,0,0,0,0,74,7.4,0,0,0
2,1,0,0,0,2,1,3,1,2,3,2,2,1,0,3,3,0,0,0,0,1
1,1,37.9,48,16,1,1,1,1,3,3,3,1,1,0,3,5,37,7,0,0,1
1,1,0,60,0,3,0,0,1,0,4,2,2,1,0,3,4,44,8.3,0,0,0
2,1,0,80,36,3,4,3,1,4,4,4,2,1,0,3,5,38,6.2,0,0,0
2,9,38.3,90,0,1,0,1,1,5,3,1,2,1,0,3,0,40,6.2,1,2.2,1
1,1,38.1,66,12,3,3,5,1,3,3,1,2,1,3,2,5,44,6,2,3.6,1
2,1,39.1,72,52,2,0,2,1,2,1,2,1,1,0,4,4,50,7.8,0,0,1
1,1,37.2,42,12,2,1,1,1,3,3,3,3,1,0,4,5,0,7,0,0,1
2,9,38,92,28,1,1,2,1,1,3,2,3,0,7.2,1,1,37,6.1,1,0,0
1,1,38.2,76,28,3,1,1,1,3,4,1,2,2,0,4,4,46,81,1,2,1
1,1,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4,0,45,6.8,0,0,0
1,9,0,128,36,3,3,4,2,4,4,3,3,0,0,4,5,53,7.8,3,4.7,0
2,1,37.5,48,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,37.6,64,21,1,1,2,1,2,3,1,1,1,0,2,5,40,7,1,0,1
2,1,39.4,110,35,4,3,6,0,0,3,3,0,0,0,0,0,55,8.7,0,0,1
1,1,39.9,72,60,1,1,5,2,5,4,4,3,1,0,4,4,46,6.1,2,0,1
2,1,38.4,48,16,1,0,1,1,1,3,1,2,3,5.5,4,3,49,6.8,0,0,1
1,1,38.6,42,34,2,1,4,0,2,3,1,0,0,0,1,0,48,7.2,0,0,1
1,9,38.3,130,60,0,3,0,1,2,4,0,0,0,0,0,0,50,70,0,0,1
1,1,38.1,60,12,3,3,3,1,0,4,3,3,2,2,0,0,51,65,0,0,1
2,1,37.8,60,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,38.3,72,30,4,3,3,2,3,3,3,2,1,0,3,5,43,7,2,3.9,1
1,1,37.8,48,12,3,1,1,1,0,3,2,1,1,0,1,3,37,5.5,2,1.3,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,37.7,48,0,2,1,1,1,1,1,1,1,1,0,0,0,45,76,0,0,1
2,1,37.7,96,30,3,3,4,2,5,4,4,3,2,4,4,5,66,7.5,0,0,0
2,1,37.2,108,12,3,3,4,2,2,4,2,0,3,6,3,3,52,8.2,3,7.4,0
1,1,37.2,60,0,2,1,1,1,3,3,3,2,1,0,4,5,43,6.6,0,0,1
1,1,38.2,64,28,1,1,1,1,3,1,0,0,0,0,4,4,49,8.6,2,6.6,1
1,1,0,100,30,3,3,4,2,5,4,4,3,3,0,4,4,52,6.6,0,0,1
2,1,0,104,24,4,3,3,2,4,4,3,0,3,0,0,2,73,8.4,0,0,0
2,1,38.3,112,16,0,3,5,2,0,0,1,1,2,0,0,5,51,6,2,1,0
1,1,37.8,72,0,0,3,0,1,5,3,1,0,1,0,1,1,56,80,1,2,1
2,1,38.6,52,0,1,1,1,1,3,3,2,1,1,0,1,3,32,6.6,1,5,1
1,9,39.2,146,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,88,0,3,3,6,2,5,3,3,1,3,0,4,5,63,6.5,3,0,0
2,9,39,150,72,0,0,0,0,0,0,0,0,0,0,0,0,47,8.5,0,0.1,1
2,1,38,60,12,3,1,3,1,3,3,1,1,1,0,2,2,47,7,0,0,1
1,1,0,120,0,3,4,4,1,4,4,4,1,1,0,0,5,52,67,2,2,0
1,1,35.4,140,24,3,3,4,2,4,4,0,2,1,0,0,5,57,69,3,2,0
2,1,0,120,0,4,3,4,2,5,4,4,1,1,0,4,5,60,6.5,3,0,0
1,1,37.9,60,15,3,0,4,2,5,4,4,2,2,0,4,5,65,7.5,0,0,1
2,1,37.5,48,16,1,1,1,1,1,1,1,1,1,0,1,0,37,6.5,0,0,1
1,1,38.9,80,44,3,3,3,2,2,3,3,2,2,7,3,1,54,6.5,3,0,0
2,1,37.2,84,48,3,3,5,2,4,1,2,1,2,0,2,1,73,5.5,2,4.1,0
2,1,38.6,46,0,1,1,2,1,1,3,2,1,1,0,0,2,49,9.1,1,1.6,1
1,1,37.4,84,36,1,0,3,2,3,3,2,0,0,0,4,5,0,0,3,0,0
2,1,0,0,0,1,1,3,1,1,3,1,0,0,0,2,2,43,7.7,0,0,1
2,1,38.6,40,20,0,0,0,1,0,0,0,0,0,0,0,0,41,6.4,0,0,1
2,1,40.3,114,36,3,3,1,2,2,3,3,2,1,7,1,5,57,8.1,3,4.5,0
1,9,38.6,160,20,3,0,5,1,3,3,4,3,0,0,4,0,38,0,2,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6.7,0,0,1
1,1,0,64,36,2,0,2,1,5,3,3,2,2,0,0,0,42,7.7,0,0,0
1,1,0,0,20,4,3,3,0,5,4,3,2,0,0,4,4,53,5.9,3,0,0
2,1,0,96,0,3,3,3,2,5,4,4,1,2,0,4,5,60,0,0,0,0
2,1,37.8,48,32,1,1,3,1,2,1,0,1,1,0,4,5,37,6.7,0,0,1
2,1,38.5,60,0,2,2,1,1,1,2,2,2,1,0,1,1,44,7.7,0,0,1
1,1,37.8,88,22,2,1,2,1,3,0,0,2,0,0,4,0,64,8,1,6,0
2,1,38.2,130,16,4,3,4,2,2,4,4,1,1,0,0,0,65,82,2,2,0
1,1,39,64,36,3,1,4,2,3,3,2,1,2,7,4,5,44,7.5,3,5,1
1,1,0,60,36,3,1,3,1,3,3,2,1,1,0,3,4,26,72,2,1,1
2,1,37.9,72,0,1,1,5,2,3,3,1,1,3,2,3,4,58,74,1,2,1
